,box,homeCount,workCount,type
0,0,53.0,19.0,home
1,1,9.0,7.0,home
2,2,2.0,1.0,home
3,3,0.0,1.0,work
4,5,0.0,1.0,work
5,6,0.0,1.0,work
6,10,5.0,2.0,home
7,13,7.0,0.0,home
8,14,7.0,7.0,home&work
9,19,0.0,2.0,work
10,23,0.0,1.0,work
11,27,0.0,1.0,work
12,29,2.0,1.0,home
13,30,1.0,1.0,home&work
14,31,0.0,1.0,work
15,32,1.0,1.0,home&work
16,34,0.0,3.0,work
17,36,0.0,1.0,work
18,38,0.0,1.0,work
19,40,1.0,0.0,home
20,41,0.0,1.0,work
21,45,1.0,0.0,home
22,47,1.0,0.0,home
23,58,1.0,1.0,home&work
24,64,0.0,1.0,work
25,67,0.0,1.0,work
26,74,0.0,2.0,work
27,76,0.0,3.0,work
28,89,0.0,1.0,work
29,92,0.0,1.0,work
30,95,1.0,0.0,home
31,101,0.0,1.0,work
32,111,1.0,0.0,home
33,117,1.0,1.0,home&work
34,123,0.0,1.0,work
35,126,1.0,0.0,home
36,147,0.0,1.0,work
37,184,1.0,0.0,home
38,193,0.0,1.0,work
